City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Youkounkoun,GN,12.5333,-13.1333,75.49,21,5,1.5,2022-01-30 04:22:13
1,Itaituba,BR,-4.2761,-55.9836,71.11,100,100,0.94,2022-01-30 04:14:29
2,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,17.27,2022-01-30 04:22:13
3,Sao Desiderio,BR,-12.3633,-44.9733,69.26,97,100,3.02,2022-01-30 04:22:13
4,Korla,CN,41.7597,86.1469,27.14,43,100,3.04,2022-01-30 04:22:14
5,Rikitea,PF,-23.1203,-134.9692,76.84,68,100,6.8,2022-01-30 04:22:14
6,Aksarka,RU,66.5606,67.7975,-16.89,100,99,6.38,2022-01-30 04:22:14
7,Atuona,PF,-9.8,-139.0333,78.08,76,23,14.14,2022-01-30 04:22:15
8,Adrar,MR,20.5022,-10.0711,68.04,15,88,11.74,2022-01-30 04:17:53
9,Mataura,NZ,-46.1927,168.8643,58.84,93,100,2.13,2022-01-30 04:22:15
10,Avera,US,33.194,-82.5271,33.67,37,0,5.97,2022-01-30 04:22:16
11,Nikolskoye,RU,59.7035,30.7861,27.72,93,100,15.01,2022-01-30 04:22:16
12,Almasu,RO,46.95,23.1333,26.15,83,99,22.86,2022-01-30 04:22:16
13,Karratha,AU,-20.7377,116.8463,98.13,35,54,14.81,2022-01-30 04:22:17
14,Muli,MV,2.9167,73.5667,81.61,74,20,11.45,2022-01-30 04:22:17
15,Srednekolymsk,RU,67.45,153.6833,-25.28,100,64,2.95,2022-01-30 04:22:18
16,Nazilli,TR,37.9163,28.3223,35.78,81,90,4.47,2022-01-30 04:22:18
17,Fortuna,US,40.5982,-124.1573,47.66,94,100,0.0,2022-01-30 04:14:23
18,Magan,ES,39.9683,-3.931,49.28,41,0,5.7,2022-01-30 04:22:18
19,Sinnamary,GF,5.3833,-52.95,75.45,88,25,7.58,2022-01-30 04:22:19
20,Albany,US,42.6001,-73.9662,6.75,55,100,17.0,2022-01-30 04:20:43
21,Pouebo,NC,-20.4,164.5667,86.49,64,97,11.5,2022-01-30 04:22:19
22,Glendive,US,47.1053,-104.7125,25.48,85,0,6.91,2022-01-30 04:22:19
23,Port Macquarie,AU,-31.4333,152.9167,78.89,64,41,9.08,2022-01-30 04:22:20
24,Hobart,AU,-42.8794,147.3294,84.02,52,0,1.01,2022-01-30 04:21:57
25,Saint-Philippe,RE,-21.3585,55.7679,81.99,75,85,9.71,2022-01-30 04:22:20
26,Ribeira Grande,PT,38.5167,-28.7,59.22,74,79,17.25,2022-01-30 04:21:10
27,Bredasdorp,ZA,-34.5322,20.0403,65.28,94,5,2.3,2022-01-30 04:20:42
28,Jalu,LY,29.0331,21.5482,52.23,66,87,9.44,2022-01-30 04:22:21
29,Kavaratti,IN,10.5669,72.642,81.37,69,90,9.15,2022-01-30 04:22:21
30,Leshukonskoye,RU,64.8989,45.7622,7.16,96,100,6.89,2022-01-30 04:22:21
31,Kapaa,US,22.0752,-159.319,76.98,75,0,3.44,2022-01-30 04:22:22
32,Ushuaia,AR,-54.8,-68.3,42.46,87,100,2.3,2022-01-30 04:19:40
33,Hilo,US,19.7297,-155.09,73.13,72,40,4.61,2022-01-30 04:14:21
34,Barrow,US,71.2906,-156.7887,-7.58,71,100,11.5,2022-01-30 04:22:22
35,Port Elizabeth,ZA,-33.918,25.5701,64.69,100,20,3.44,2022-01-30 04:22:22
36,Turuvekere,IN,13.1642,76.6667,74.77,60,15,6.31,2022-01-30 04:22:23
37,Ilulissat,GL,69.2167,-51.1,8.62,52,20,25.32,2022-01-30 04:21:41
38,Namie,JP,37.4833,141.0,42.98,44,94,14.45,2022-01-30 04:22:23
39,Bac Giang,VN,21.2667,106.2,57.27,63,100,7.29,2022-01-30 04:19:08
40,Punta Arenas,CL,-53.15,-70.9167,46.11,70,0,11.5,2022-01-30 04:21:00
41,San Patricio,US,28.017,-97.5169,57.04,55,9,8.39,2022-01-30 04:21:32
42,Hermanus,ZA,-34.4187,19.2345,65.8,89,2,10.4,2022-01-30 04:20:40
43,Gurupa,BR,-1.405,-51.64,71.8,99,100,2.08,2022-01-30 04:22:24
44,Muros,ES,42.7762,-9.0603,45.1,60,18,5.66,2022-01-30 04:21:38
45,Shimoda,JP,34.6667,138.95,45.1,57,96,8.37,2022-01-30 04:13:03
46,Ust-Tarka,RU,55.5672,75.705,4.15,85,100,10.22,2022-01-30 04:22:24
47,Evensk,RU,61.95,159.2333,16.21,79,100,10.45,2022-01-30 04:22:25
48,Juneau,US,58.3019,-134.4197,35.6,90,100,6.91,2022-01-30 04:18:44
49,Krishnarajasagara,IN,12.4089,76.5797,75.13,73,20,5.75,2022-01-30 04:23:26
50,Torbay,CA,47.6666,-52.7314,45.28,96,100,35.68,2022-01-30 04:09:28
51,Kahului,US,20.8947,-156.47,77.02,63,0,3.44,2022-01-30 04:23:26
52,Alenquer,BR,-1.9417,-54.7383,77.34,96,100,4.21,2022-01-30 04:23:27
53,Kavali,IN,14.9167,79.9833,76.75,71,12,3.62,2022-01-30 04:23:27
54,Urumqi,CN,43.801,87.6005,-1.25,85,100,2.24,2022-01-30 04:23:28
55,Lorengau,PG,-2.0226,147.2712,83.55,73,42,9.04,2022-01-30 04:23:29
56,Cape Town,ZA,-33.9258,18.4232,66.11,73,0,3.0,2022-01-30 04:14:17
57,Outlook,CA,51.5001,-107.0513,27.16,92,96,6.73,2022-01-30 04:23:29
58,Coolum Beach,AU,-26.5333,153.1,84.11,81,70,4.0,2022-01-30 04:23:29
59,Yeppoon,AU,-23.1333,150.7333,87.58,71,40,14.85,2022-01-30 04:23:30
60,Jamestown,US,42.097,-79.2353,6.71,84,0,4.61,2022-01-30 04:14:28
61,Medvezhyegorsk,RU,62.9167,34.4667,13.82,95,100,9.15,2022-01-30 04:23:30
62,Ancud,CL,-41.8697,-73.8203,56.73,88,100,9.64,2022-01-30 04:23:31
63,Busselton,AU,-33.65,115.3333,87.08,45,4,12.55,2022-01-30 04:23:31
64,Udachnyy,RU,66.4167,112.4,-21.41,99,36,3.31,2022-01-30 04:23:31
65,Huarmey,PE,-10.0681,-78.1522,70.5,84,67,7.9,2022-01-30 04:23:32
66,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,3.44,2022-01-30 04:23:32
67,Victoria,HK,22.2855,114.1577,67.24,62,67,7.0,2022-01-30 04:19:01
68,Vaini,TO,-21.2,-175.2,81.9,76,99,11.95,2022-01-30 04:23:33
69,Qaanaaq,GL,77.484,-69.3632,-5.53,87,100,5.14,2022-01-30 04:23:33
70,Camabatela,AO,-8.1881,15.375,62.24,100,100,1.97,2022-01-30 04:23:33
71,East London,ZA,-33.0153,27.9116,65.34,94,0,3.44,2022-01-30 04:21:27
72,Anshun,CN,26.25,105.9333,41.65,71,35,4.9,2022-01-30 04:23:34
73,Jember,ID,-8.166,113.7032,87.26,65,97,4.52,2022-01-30 04:23:34
74,Sars,RU,56.5502,57.1366,10.53,92,100,5.37,2022-01-30 04:23:35
75,Pevek,RU,69.7008,170.3133,-15.2,98,100,3.96,2022-01-30 04:23:35
76,Lagoa,PT,39.05,-27.9833,57.92,70,7,16.8,2022-01-30 04:23:35
77,Dryden,CA,49.7833,-92.7503,7.09,85,100,6.91,2022-01-30 04:23:36
78,Sorland,NO,67.667,12.6934,36.48,53,100,26.06,2022-01-30 04:23:36
79,Shenjiamen,CN,29.9576,122.298,42.08,79,100,19.86,2022-01-30 04:23:37
80,Port Blair,IN,11.6667,92.75,82.44,69,40,9.22,2022-01-30 04:23:37
81,Manicore,BR,-5.8092,-61.3003,71.31,100,100,2.37,2022-01-30 04:23:37
82,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,39,0,20.71,2022-01-30 04:23:37
83,Barcelos,PT,41.5388,-8.6151,49.68,55,1,6.04,2022-01-30 04:23:38
84,Dunedin,NZ,-45.8742,170.5036,57.72,94,100,2.39,2022-01-30 04:23:38
85,Misratah,LY,32.3754,15.0925,55.02,55,24,20.38,2022-01-30 04:23:39
86,Khatanga,RU,71.9667,102.5,-14.51,98,84,7.52,2022-01-30 04:23:39
87,Kodiak,US,57.79,-152.4072,31.51,59,0,18.41,2022-01-30 04:23:15
88,Faanui,PF,-16.4833,-151.75,80.82,71,100,6.24,2022-01-30 04:14:01
89,Dikson,RU,73.5069,80.5464,7.05,94,100,16.64,2022-01-30 04:23:39
90,Saint-Augustin,CA,51.226,-58.6502,12.04,93,100,30.71,2022-01-30 04:23:40
91,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,40,10.36,2022-01-30 04:21:45
92,Masumbwe,TZ,-3.6333,32.1833,64.74,86,100,2.64,2022-01-30 04:24:40
93,Clyde River,CA,70.4692,-68.5914,-10.97,64,75,10.36,2022-01-30 04:24:41
94,Ondjiva,AO,-17.0667,15.7333,68.41,79,100,5.86,2022-01-30 04:24:41
95,Port Hardy,CA,50.6996,-127.4199,47.75,81,100,21.85,2022-01-30 04:21:07
96,Shenzhen,CN,22.5455,114.0683,67.14,73,43,10.85,2022-01-30 04:24:42
97,Ketchikan,US,55.3422,-131.6461,39.18,91,98,5.55,2022-01-30 04:24:42
98,Hithadhoo,MV,-0.6,73.0833,81.05,68,55,3.51,2022-01-30 04:24:42
99,Bontang,ID,0.1333,117.5,83.37,75,97,5.46,2022-01-30 04:20:20
100,Yellowknife,CA,62.456,-114.3525,-14.58,78,75,6.91,2022-01-30 04:24:43
101,Grand Gaube,MU,-20.0064,57.6608,83.37,68,85,8.01,2022-01-30 04:24:43
102,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,88,40,14.65,2022-01-30 04:23:35
103,Belozerskoye,RU,55.8214,65.5842,6.17,95,100,2.66,2022-01-30 04:24:44
104,Port Alfred,ZA,-33.5906,26.891,68.76,86,10,8.08,2022-01-30 04:21:21
105,Dingle,PH,10.9995,122.6711,87.06,64,11,3.0,2022-01-30 04:24:44
106,Lebu,CL,-37.6167,-73.65,56.43,90,6,7.9,2022-01-30 04:24:45
107,New Norfolk,AU,-42.7826,147.0587,82.89,31,0,3.0,2022-01-30 04:24:45
108,Tuy Hoa,VN,13.0833,109.3,78.06,77,82,5.12,2022-01-30 04:24:45
109,Oschersleben,DE,52.0333,11.25,44.15,74,92,33.02,2022-01-30 04:24:46
110,Nizhneudinsk,RU,54.9076,99.0276,7.75,81,29,2.17,2022-01-30 04:24:46
111,Terekli-Mekteb,RU,44.1671,45.8698,32.7,91,100,5.7,2022-01-30 04:24:46
112,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,40,16.11,2022-01-30 04:24:47
113,Kungalv,SE,57.871,11.9805,46.11,54,46,8.99,2022-01-30 04:24:47
114,Port Lincoln,AU,-34.7333,135.8667,74.05,64,4,11.9,2022-01-30 04:24:47
115,Porto De Moz,BR,-1.7483,-52.2383,71.65,99,100,2.73,2022-01-30 04:24:48
116,Niksic,ME,42.7731,18.9445,33.67,58,88,5.61,2022-01-30 04:24:48
117,Rock Sound,BS,24.9,-76.2,63.59,60,95,21.47,2022-01-30 04:24:48
118,Tiznit,MA,29.5833,-9.5,56.77,29,0,24.96,2022-01-30 04:23:32
119,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,1,3.51,2022-01-30 04:24:49
120,Manta,EC,-0.95,-80.7333,74.98,83,20,6.91,2022-01-30 04:24:49
121,Whitehorse,CA,60.7161,-135.0538,16.57,92,100,4.0,2022-01-30 04:24:49
122,Taoudenni,ML,22.6783,-3.9836,69.12,16,99,10.13,2022-01-30 04:23:29
123,Bluff,NZ,-46.6,168.3333,59.67,88,100,3.69,2022-01-30 04:22:09
124,Carnarvon,AU,-24.8667,113.6333,84.27,70,61,17.27,2022-01-30 04:21:51
125,Guerrero Negro,MX,27.9769,-114.0611,61.21,66,7,10.47,2022-01-30 04:22:31
126,Labuhan,ID,-6.8844,112.2051,85.44,68,96,4.52,2022-01-30 04:24:50
127,Hofn,IS,64.2539,-15.2082,32.23,62,100,7.36,2022-01-30 04:24:51
128,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,68,78,11.81,2022-01-30 04:24:51
129,Nanortalik,GL,60.1432,-45.2371,18.37,70,100,19.62,2022-01-30 04:24:52
130,Kokopo,PG,-4.352,152.2633,81.28,80,100,8.46,2022-01-30 04:24:52
131,Pandan,PH,14.0453,124.1694,85.05,68,47,3.0,2022-01-30 04:24:52
132,Kotma,IN,23.2,81.9667,62.76,27,0,6.35,2022-01-30 04:24:53
133,Elban,RU,50.1018,136.5094,-9.22,93,99,4.18,2022-01-30 04:24:53
134,Tomatlan,MX,19.9333,-105.25,66.29,91,0,2.55,2022-01-30 04:24:54
135,Belmonte,BR,-15.8631,-38.8828,77.5,85,90,10.29,2022-01-30 04:24:54
136,Alugan,PH,12.2188,125.4808,83.35,73,11,7.92,2022-01-30 04:24:54
137,Iquique,CL,-20.2208,-70.1431,66.24,78,36,2.95,2022-01-30 04:22:21
138,Sur,OM,22.5667,59.5289,72.88,45,2,2.82,2022-01-30 04:24:55
139,Tsiroanomandidy,MG,-18.7667,46.0333,70.21,89,71,3.58,2022-01-30 04:25:55
140,Vestmannaeyjar,IS,63.4427,-20.2734,40.55,71,100,17.74,2022-01-30 04:25:56
141,Padang,ID,-0.9492,100.3543,84.25,80,98,1.43,2022-01-30 04:25:56
142,Veraval,IN,20.9,70.3667,71.01,28,0,6.08,2022-01-30 04:25:56
143,Merauke,ID,-8.4667,140.3333,82.0,77,100,3.47,2022-01-30 04:25:05
144,Provideniya,RU,64.3833,-173.3,3.54,84,19,4.79,2022-01-30 04:25:57
145,Iqaluit,CA,63.7506,-68.5145,-15.07,64,100,3.44,2022-01-30 04:25:57
146,Ulaanbaatar,MN,47.9077,106.8832,-2.07,78,75,2.24,2022-01-30 04:21:18
147,Port Moresby,PG,-9.4431,147.1797,80.02,78,75,17.27,2022-01-30 04:25:58
148,Roald,NO,62.5833,6.1333,39.34,60,20,19.57,2022-01-30 04:25:58
149,Shelburne,CA,44.0787,-80.2041,7.59,79,62,4.94,2022-01-30 04:25:59
150,Borba,BR,-4.3878,-59.5939,71.96,100,100,1.19,2022-01-30 04:25:59
151,Tasiilaq,GL,65.6145,-37.6368,12.36,63,100,12.17,2022-01-30 04:21:24
152,Price,US,39.5994,-110.8107,26.11,74,0,3.44,2022-01-30 04:26:00
153,Lavrentiya,RU,65.5833,-171.0,-4.07,88,3,3.8,2022-01-30 04:21:42
154,Bemidji,US,47.4736,-94.8803,13.14,79,100,13.8,2022-01-30 04:23:28
155,Vanimo,PG,-2.6741,141.3028,79.25,82,100,11.59,2022-01-30 04:26:00
156,Kudahuvadhoo,MV,2.6708,72.8944,81.36,74,80,10.58,2022-01-30 04:26:00
157,Kirakira,SB,-10.4544,161.9205,84.78,74,54,9.37,2022-01-30 04:22:59
158,Archidona,ES,37.0965,-4.3887,50.36,26,0,5.28,2022-01-30 04:26:01
159,Galle,LK,6.0367,80.217,83.53,61,6,3.62,2022-01-30 04:26:01
160,Hastings,GB,50.8552,0.5729,40.89,84,4,9.37,2022-01-30 04:26:02
161,Chokurdakh,RU,70.6333,147.9167,-20.61,89,85,1.79,2022-01-30 04:26:02
162,Kangaatsiaq,GL,68.3065,-53.4641,5.81,90,100,17.25,2022-01-30 04:26:02
163,Mahebourg,MU,-20.4081,57.7,83.25,78,40,10.36,2022-01-30 04:21:53
164,Macamic,CA,48.7502,-78.9996,-7.37,100,88,2.8,2022-01-30 04:26:03
165,Marrakesh,MA,31.6315,-8.0083,51.87,50,40,2.3,2022-01-30 04:26:04
166,Praia,CV,14.9215,-23.5087,68.54,68,40,21.85,2022-01-30 04:26:02
167,Nizwa,OM,22.9333,57.5333,68.13,40,0,0.81,2022-01-30 04:26:04
168,Cidreira,BR,-30.1811,-50.2056,70.83,70,27,10.65,2022-01-30 04:25:20
169,Ponta Do Sol,PT,32.6667,-17.1,61.43,41,6,5.53,2022-01-30 04:26:05
170,Burnie,AU,-41.0667,145.9167,74.95,64,9,8.41,2022-01-30 04:26:05
171,Tezu,IN,27.9167,96.1667,64.85,31,0,3.69,2022-01-30 04:26:05
172,Tierralta,CO,8.1736,-76.0592,72.64,91,8,3.53,2022-01-30 04:26:06
173,Khor,RU,47.8861,134.9464,-6.11,89,36,4.79,2022-01-30 04:26:06
174,Emba,KZ,48.8264,58.1442,14.07,96,97,7.61,2022-01-30 04:26:07
175,Okhotsk,RU,59.3833,143.3,17.31,80,100,14.09,2022-01-30 04:26:07
176,Igarka,RU,67.4667,86.5833,0.03,96,100,10.65,2022-01-30 04:26:07
177,Makakilo City,US,21.3469,-158.0858,75.56,61,0,6.91,2022-01-30 04:26:08
178,Kununurra,AU,-15.7667,128.7333,89.58,58,40,18.41,2022-01-30 04:26:08
179,Vostok,RU,46.4856,135.8833,-0.96,78,89,4.85,2022-01-30 04:26:09
180,Talnakh,RU,69.4865,88.3972,-2.79,97,100,8.39,2022-01-30 04:26:09
181,Havoysund,NO,70.9963,24.6622,25.68,69,97,24.38,2022-01-30 04:25:10
182,Umm Lajj,SA,25.0213,37.2685,60.51,46,0,10.85,2022-01-30 04:26:09
183,Caravelas,BR,-17.7125,-39.2481,76.98,87,40,8.1,2022-01-30 04:22:08
184,Itoman,JP,26.1247,127.6694,69.82,73,40,16.11,2022-01-30 04:26:10
185,Alice Springs,AU,-23.7,133.8833,85.55,66,75,18.41,2022-01-30 04:25:06
186,Malanje,AO,-9.5402,16.341,64.87,98,100,5.37,2022-01-30 04:27:11
187,Portland,US,45.5234,-122.6762,43.16,72,0,5.99,2022-01-30 04:22:32
188,Champasak,LA,14.75,106.0,81.48,42,68,5.1,2022-01-30 04:27:11
189,Mar Del Plata,AR,-38.0023,-57.5575,69.87,83,0,21.0,2022-01-30 04:27:11
190,Nyazepetrovsk,RU,56.0531,59.6028,0.36,99,100,1.14,2022-01-30 04:27:12
191,Zavetnoye,RU,47.1194,43.8903,31.14,93,99,15.57,2022-01-30 04:27:12
192,Georgetown,MY,5.4112,100.3354,91.33,66,20,8.05,2022-01-30 04:27:13
193,Agadez,NE,19.75,10.25,51.26,28,40,10.13,2022-01-30 04:25:18
194,Yumen,CN,40.2833,97.2,18.39,46,0,7.94,2022-01-30 04:27:13
195,Avarua,CK,-21.2078,-159.775,80.65,74,20,4.61,2022-01-30 04:27:13
196,Mocuba,MZ,-16.8392,36.9856,71.02,98,25,1.79,2022-01-30 04:27:14
197,Bilibino,RU,68.0546,166.4372,-0.13,89,100,3.29,2022-01-30 04:27:14
198,Erenhot,CN,43.6475,111.9767,10.98,88,100,14.36,2022-01-30 04:27:14
199,Codrington,AU,-38.2667,141.9667,72.63,72,96,12.21,2022-01-30 04:25:19
200,Baykit,RU,61.67,96.37,-4.74,100,100,0.29,2022-01-30 04:27:15
201,Bethel,US,41.3712,-73.414,13.01,50,0,3.0,2022-01-30 04:27:15
202,Sozimskiy,RU,59.7418,52.2482,1.24,98,100,3.8,2022-01-30 04:27:16
203,Dubai,AE,25.2582,55.3047,67.21,82,0,5.75,2022-01-30 04:27:16
204,Bubaque,GW,11.2833,-15.8333,78.06,58,40,12.37,2022-01-30 04:27:16
205,Ambilobe,MG,-13.2,49.05,75.69,91,100,0.34,2022-01-30 04:27:16
206,Saint-Joseph,RE,-21.3667,55.6167,80.98,74,54,10.27,2022-01-30 04:27:17
207,Puerto Ayora,EC,-0.7393,-90.3518,73.18,85,81,5.57,2022-01-30 04:27:17
208,Marsh Harbour,BS,26.5412,-77.0636,59.45,60,64,22.75,2022-01-30 04:27:17
209,Progreso,MX,21.2833,-89.6667,65.1,63,100,12.64,2022-01-30 04:27:18
210,Tabou,CI,4.423,-7.3528,77.61,88,49,1.1,2022-01-30 04:27:18
211,Natal,BR,-5.795,-35.2094,77.22,94,40,4.61,2022-01-30 04:23:50
212,Ostrovnoy,RU,68.0531,39.5131,18.61,92,100,9.6,2022-01-30 04:27:19
213,Constitucion,CL,-35.3333,-72.4167,56.89,93,62,6.85,2022-01-30 04:27:19
214,Isangel,VU,-19.55,169.2667,82.51,89,100,5.75,2022-01-30 04:27:19
215,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.45,97,97,2.93,2022-01-30 04:27:20
216,Shieli,KZ,44.1667,66.75,25.61,89,6,3.22,2022-01-30 04:27:20
217,Berlevag,NO,70.8578,29.0864,22.68,79,87,5.3,2022-01-30 04:27:21
218,Arraial Do Cabo,BR,-22.9661,-42.0278,73.44,95,100,10.16,2022-01-30 04:27:21
219,Puksoozero,RU,62.5903,40.6066,4.93,97,100,6.15,2022-01-30 04:27:21
220,Namibe,AO,-15.1961,12.1522,70.18,76,100,3.56,2022-01-30 04:26:30
221,Thinadhoo,MV,0.5333,72.9333,81.66,71,69,5.35,2022-01-30 04:27:21
222,Nakusp,CA,50.2499,-117.8023,27.48,86,100,2.3,2022-01-30 04:27:22
223,Cochrane,CA,51.1834,-114.4687,42.04,33,100,21.85,2022-01-30 04:26:31
